"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"4942",3.79617898916198e-31,1.66155850580911,0.083,0.026,7.03166234162474e-27,"7","Shb"
"4943",0,1.66154239830626,0.89,0.229,0,"7","Tgfbi"
"4944",1.95986635788347e-161,1.66146592581807,0.392,0.12,3.63026045470755e-157,"7","5031439G07Rik"
"4945",0,1.65884212283946,0.697,0.21,0,"7","Fndc3b"
"4946",0,1.65777596474772,0.923,0.276,0,"7","Ifi207"
"4947",1.63922713355503e-128,1.65750849697349,0.361,0.122,3.03634041948398e-124,"7","Tm2d2"
"4948",9.89515485730431e-275,1.65411294601074,0.586,0.169,1.83287953421848e-270,"7","Hck"
"4949",1.0836525321913e-58,1.65387776872749,0.133,0.038,2.00724958537795e-54,"7","Dmxl2"
"4950",1.19816912976979e-34,1.65387776872749,0.091,0.028,2.21936867907259e-30,"7","Gm17268"
"4951",4.46748771104382e-09,1.65387776872749,0.023,0.007,8.27512748716647e-05,"7","Fcor"
"4952",3.94172926205267e-08,1.65387776872749,0.023,0.008,0.000730126511210016,"7","1110002J07Rik"
"4953",1.89565997250733e-263,1.65369492923154,0.681,0.248,3.51133096707532e-259,"7","Nfil3"
"4954",0,1.64932906803586,0.84,0.28,0,"7","Gab2"
"4955",1.05495597574944e-105,1.64884656906568,0.157,0.032,1.95409495388069e-101,"7","Lima1"
"4956",1.46350834276177e-87,1.64876052734202,0.23,0.072,2.71085650329762e-83,"7","Atp6v0a1"
"4957",8.76577403947615e-245,1.64604056498599,0.666,0.255,1.62368432533217e-240,"7","Fbxl5"
"4958",4.01950813399002e-258,1.64477689694885,0.672,0.245,7.44533491658971e-254,"7","Rnf130"
"4959",4.48768051547431e-51,1.63901038742622,0.163,0.057,8.31253061881307e-47,"7","Polr2l"
"4960",2.83097208357359e-10,1.63748333047682,0.027,0.009,5.24380959040336e-06,"7","Gm26881"
"4961",3.694065542956e-115,1.6369012465307,0.31,0.1,6.8425176052174e-111,"7","Tubb6"
"4962",3.38894719686569e-203,1.63590139371594,0.353,0.083,6.27734689275432e-199,"7","Trem1"
